链接,标题,日期
http://chuansong.me/n/2064572747225,9个比赛7进top10,阿里天池大数据竞赛思路分享,2017-12-03
http://chuansong.me/n/2064572847132,京东JData算法大赛-高潜用户购买意向预测(github源码),2017-12-02
http://chuansong.me/n/2059017147026,深度学习CTPN算法的解读与tensorflow实现,2017-11-30
http://chuansong.me/n/2057378347025,机器学习如何与传统行业结合？金融领域可能是最大风口,2017-11-29
http://chuansong.me/n/2055946047023,国内外自然语言处理(NLP)项目主页及其研究组,2017-11-28
http://chuansong.me/n/2053829647734,【python\\xa0自然语言处理】对胡歌【猎场】电视剧评论进行情感值分析,2017-11-27
http://chuansong.me/n/2051584547326,OCR开源库（文本区域定位和文本识别）：github,2017-11-26
http://chuansong.me/n/2051584647233,深度学习CTPN+CRNN模型实现图片内文字的定位与识别(OCR),2017-11-25
http://chuansong.me/n/2047938547634,NLP大赛冠军总结：300万知乎多标签文本分类任务(附深度学习源码),2017-11-24
http://chuansong.me/n/2045224847822,震惊！从青铜到钻石，只因搭了一个图像识别系统,2017-11-23
http://chuansong.me/n/2044219047222,300万摩拜单车出行记录数据,预测骑行目的地,2017-11-22
http://chuansong.me/n/2041965647715,python数据分析师面试题选,2017-11-21
http://chuansong.me/n/2039339647032,Python作为机器学习语言--何谓机器学习\\xa0机器学习能做些什么,2017-11-20
http://chuansong.me/n/2038115047216,tensorflow项目学习路径,2017-11-19
http://chuansong.me/n/2038115147033,如何用TensorFlow和TF-Slim实现图像标注、分类与分割,2017-11-18
http://chuansong.me/n/2018360147024,留给人类的时间不多了？现在不学机器学习更待何时！,2017-11-17
http://chuansong.me/n/2018360247029,tensorflow\\xa0LSTM\\xa0+\\xa0CTC实现端到端OCR,2017-11-16
http://chuansong.me/n/2018360347018,老铁，邀请你来免费学习人工智能！！！,2017-11-15
http://chuansong.me/n/2018360447015,5年开发老鸟转型人工智能心酸史,2017-11-14
http://chuansong.me/n/2018360547025,零经验，基础差，如何转型30W+的人工智能工程师？,2017-11-13
http://chuansong.me/n/2018360647224,用深度学习Keras判断出一句文本是积极还是消极,2017-11-12
http://chuansong.me/n/2018360747526,深度学习实战（可视化部分）——使用keras识别猫咪,2017-11-11
http://chuansong.me/n/2018360847720,TensorFlow实例:\\xa0手写汉字识别,2017-11-10
http://chuansong.me/n/2018360947017,区块链来了：未来注定颠覆我们的生活,2017-11-09
http://chuansong.me/n/2018361047036,详细介绍tensorflow\\xa0神经网络分类模型构建全过程：以文本分类为例,2017-11-08
http://chuansong.me/n/2012670647628,Python的开源人脸识别库：离线识别率高达99.38%,2017-10-26
http://chuansong.me/n/2012670747228,文本分类实战:\\xa0\\xa0机器学习vs深度学习算法对比（附代码）,2017-10-25
http://chuansong.me/n/2012670847027,一篇文章讲清楚人工智能、机器学习和深度学习的区别和联系,2017-10-24
http://chuansong.me/n/2012670947230,Tensorflow的CNNs模型实战：根据短文本对企业分类,2017-10-23
http://chuansong.me/n/2012671047818,大数据工程师（开发）面试题(附答案),2017-10-21
http://chuansong.me/n/2012671147025,如何在考研和求职前，快速获得一份人工智能项目经历？,2017-10-20
http://chuansong.me/n/2012671247018,如何成为一名Google收录工程师？,2017-10-19
http://chuansong.me/n/2012671347442,QQ空间(日志、说说、个人信息)python爬虫源码（一天可抓取\\xa0400\\xa0万条数据）,2017-10-18
http://chuansong.me/n/2012671447030,平均年薪30万的深度学习算法工程师，正面临100万的人才缺口,2017-10-17
http://chuansong.me/n/2012671547032,天猫双11、双12爬虫源码(福利:\\xa0212万条商品数据免费下载),2017-10-16
http://chuansong.me/n/1991743847922,Python:使用sklearn进行集成学习,2017-07-20
http://chuansong.me/n/1988588647620,文本挖掘之特征选择(python\\xa0实现),2017-07-19
http://chuansong.me/n/1987391047617,起薪30万的AI工程师？你也可以！,2017-07-18
http://chuansong.me/n/1979594047024,【福利】百度Hadoop架构师教你学习大数据技术,2017-07-17
http://chuansong.me/n/1979594147724,教程\\xa0|\\xa0如何用Python和机器学习炒股赚钱？,2017-07-16
http://chuansong.me/n/1979594247321,非主流自然语言处理：大规模语料词库自动生成,2017-07-15
http://chuansong.me/n/1976358247428,2017华为开发者大赛进行中丨100G交通大数据公开挖掘,2017-07-13
http://chuansong.me/n/1972069447924,解析Tensorflow官方PTB模型的demo,2017-07-12
http://chuansong.me/n/1967472347219,机器学习实战：python算法代码汇总,2017-07-10
http://chuansong.me/n/1963535247725,数十种TensorFlow实现案例汇集：代码+笔记,2017-07-09
http://chuansong.me/n/1959691747628,深度学习：用tensorflow实现最近邻算法（KNN）,2017-07-07
http://chuansong.me/n/1956467047334,Tensorflow学习：使用Tensorflow搭建深层网络分类器,2017-07-05
http://chuansong.me/n/1954140647827,利用TensorFlow实现多元逻辑回归和多元线性回归,2017-07-04
http://chuansong.me/n/1954140747924,深度学习：用tensorflow建立线性回归模型,2017-07-03
http://chuansong.me/n/1949754347824,技术直播|达观数据nlp技术的应用实践和案例分析,2017-07-02
http://chuansong.me/n/1947117647925,达观数据技术干货\\xa0|\\xa0搜你所想”之用户搜索意图识别,2017-06-30
http://chuansong.me/n/1944973947325,用python根据考生成绩对学生预测是否被高校录取,2017-06-29
http://chuansong.me/n/1942897947921,面对深度学习，你还在恐惧自己的“零”基础么,2017-06-28
http://chuansong.me/n/1934828247037,用python基于2015-2016年的NBA常规赛及季后赛的统计数据分析,2017-06-24
http://chuansong.me/n/1930844947116,系统学习，人工智能领域入门与实战,2017-06-23
http://chuansong.me/n/1930845047237,用\\xa0Python\\xa0分析过去四年的比赛数据，实力最强的\\xa0NBA\\xa0球队原来是它,2017-06-22
http://chuansong.me/n/1926595247925,这是我见过最全的Python学习资料库，没有之一！,2017-06-21
http://chuansong.me/n/1926595347026,中科院博士团队开讲，带你从0到1掌握「深度学习」精髓,2017-06-20
http://chuansong.me/n/1921576047530,关于举办“R语言机器学习与数据挖掘核心技术与应用”\\xa0培训通知,2017-06-19
http://chuansong.me/n/1921576147717,用R语言对上海市链家二手房数据分析,2017-06-18
http://chuansong.me/n/1921576247720,技术直播|“搜你所想”之用户搜索意图识别,2017-06-17
http://chuansong.me/n/1921576347327,python数据分析：携程出行产品预测未来14个月销量,2017-06-16
http://chuansong.me/n/1921576447920,达观数据个性化推荐系统应用场景及架构实现,2017-06-15
http://chuansong.me/n/1908770347013,怎样做中文文本的情感分析？,2017-06-12
http://chuansong.me/n/1902175847118,文本分类中语料库的获取——搜狗语料库,2017-06-09
http://chuansong.me/n/1900259647027,用TensorFlow实现文本分析模型，做个聊天机器人,2017-06-08
http://chuansong.me/n/1895585747127,P2P网站(人人贷)散标投资数据和借贷人的信息数据爬取,2017-06-06
http://chuansong.me/n/1893224047731,限免100人|魔镜数据训练营招生开始，带你从0到1打造数据产品,2017-06-05
http://chuansong.me/n/1889769247821,技术直播|个性化推荐系统应用场景及架构实现,2017-06-04
http://chuansong.me/n/1882154647226,Python文本挖掘：知乎网友如何评价《人民的名义》,2017-06-01
http://chuansong.me/n/1873334847824,赛题解说|“达观杯”个性化推荐算法挑战赛技术讲解,2017-05-31
http://chuansong.me/n/1870490747517,python利用结巴分词做新闻地图,2017-05-29
http://chuansong.me/n/1868380947513,python文本相似度计算,2017-05-27
http://chuansong.me/n/1864873047433,Python到底是不是数据分析最好的语言？听听这位大神怎么说...,2017-05-26
http://chuansong.me/n/1862758647135,基于LSTM搭建一个文本情感分类的深度学习模型:准确率往往有95%以上,2017-05-25
http://chuansong.me/n/1858481047919,用python做NLP：中文文本预处理,2017-05-24
http://chuansong.me/n/1855824447328,R语言数据处理：飞机航行距离与到达延误时间有什么关系??,2017-05-23
http://chuansong.me/n/1851586847721,DS数据大咖带您畅游【数据科学精英夏令营】,2017-05-22
http://chuansong.me/n/1849123247226,技术直播|“达观杯”个性化推荐算法挑战赛赛题数据解析,2017-05-21
http://chuansong.me/n/1846929247928,AR(I)MA时间序列建模过程——步骤和python代码,2017-05-19
http://chuansong.me/n/1844457447923,Python\\xa0调用百度翻译API,实现自动翻译,2017-05-18
http://chuansong.me/n/1841192747956,数据分析:中国高校更名历史\\xa0Pythonhttp://www.wmzy.com/api/rank/schList,2017-05-16
http://chuansong.me/n/1835157447115,用python作信用卡欺诈预测,2017-05-14
http://chuansong.me/n/1833128747723,用交叉验证改善模型的预测表现－着重k重交叉验证,2017-05-13
http://chuansong.me/n/1825625247324,[笔记]使用Python一步一步地来进行数据分析,2017-05-10
http://chuansong.me/n/1818223347330,悬赏最佳算法|2017“达观杯”个性化推荐算法挑战赛报名开启,2017-05-09
http://chuansong.me/n/1816067947820,使用\\xa0R\\xa0语言从拉勾网看数据挖掘岗位现状,2017-05-08
http://chuansong.me/n/1811978247615,python数据分析之股票实战,2017-05-06
http://chuansong.me/n/1806425647620,用python获取天气数据，并作定时播报,2017-05-04
http://chuansong.me/n/1806425747318,6万部豆瓣电影数据，如何做数据分析？,2017-05-02
http://chuansong.me/n/1806425847931,Bilibili\\xa0(B站)200万用户数据爬取与分析(附源码),2017-05-01
http://chuansong.me/n/1806425947519,百度云盘爬虫——爬取网盘所有的分享文件,2017-04-30
http://chuansong.me/n/1806426047816,经验分享|互联网金融数据产品开发,2017-04-29
http://chuansong.me/n/1806426147122,周小川公开表示研究的“区块链”，究竟是什么？,2017-04-28
http://chuansong.me/n/1806426247429,算法大赛｜从程序员到数据科学家：Fintech职业发展指南,2017-04-27
http://chuansong.me/n/1793800747814,R语言中的情感分析与机器学习,2017-04-26
http://chuansong.me/n/1790379947909,再见，余！额！宝！,2017-04-25
http://chuansong.me/n/1788376647014,深度学习再度升级！大神带你飞,2017-04-24
http://chuansong.me/n/1786178347912,Python股票数据分析,2017-04-23
http://chuansong.me/n/1786178447024,直播|拍拍贷首席数据官顾鸣：大数据风控的关键技术,2017-04-22
http://chuansong.me/n/1783245047419,python结合API实现即时天气信息,2017-04-21
http://chuansong.me/n/1776666447429,用python抓取摩拜单车API数据并做可视化分析(源码),2017-04-19
http://chuansong.me/n/1776666547131,关于举办全国人工智能与深度学习核心技术案例实践高级研修班的通知,2017-04-18
http://chuansong.me/n/1767541347818,50多条实用mysql数据库优化建议,2017-04-17
http://chuansong.me/n/1767541447220,【技术分享】迁移学习在场景化风控中的应用,2017-04-16
http://chuansong.me/n/1767541547321,《人民的名义》电视剧第1—55全集下载地址,2017-04-14
http://chuansong.me/n/1767541647322,使用Python编写网络爬虫抓取视频下载资源,2017-04-14
http://chuansong.me/n/1767541747542,当网络安全遇上大数据，谁是2017最酷白帽子黑客？2017中国网络安全技术对抗赛开战,2017-04-13
http://chuansong.me/n/1767541847125,利用Python绘制MySQL数据图实现数据可视化,2017-04-12
