链接,标题,日期
http://chuansong.me/n/2220080936325,BAT都在急招深度学习人才，你还在犹豫要不要跳槽？,2018-03-05
http://chuansong.me/n/2220081036323,互联网IT人员中年危机自救指南(以程序员为例),2018-03-05
http://chuansong.me/n/2217333636716,推荐\\xa0：数据科学研究的现状与趋势,2018-03-02
http://chuansong.me/n/2213221436929,2017年网络媒体现状\\xa0：用户活跃量稳增公信力却没悉数跟上,2018-03-01
http://chuansong.me/n/2213221536918,分享\\xa0：数据可视化和信息图成功的要素,2018-03-01
http://chuansong.me/n/2210142536616,干货\\xa0：如何看穿数据可视化的谎言,2018-02-26
http://chuansong.me/n/2210142636625,你的能力比学历更重要，Python\\xa0成开发者最爱！,2018-02-26
http://chuansong.me/n/2202704736118,区块链与数据存储\\xa0：未来在于去中心化,2018-02-22
http://chuansong.me/n/2202704836122,13个原因告诉你：为什么你的大脑那么喜欢图表,2018-02-22
http://chuansong.me/n/2194604936223,高德地图\\xa0：2018年春运安全出行指南（攻略）,2018-02-12
http://chuansong.me/n/2194605036218,推荐\\xa0：2018大数据10大发展趋势,2018-02-12
http://chuansong.me/n/2181888436120,超级干货\\xa0：一文读懂人工神经网络学习原理,2018-02-07
http://chuansong.me/n/2178376936024,每年存1.4万，40年后你有多少钱，算完惊呆了！,2018-02-06
http://chuansong.me/n/2178377036020,79页区块链报告：从理论到实践（附下载）,2018-02-06
http://chuansong.me/n/2178247436023,赫美收购再发力\\xa0\\xa0打造线上线下全产业链战略布局,2018-02-05
http://chuansong.me/n/2178247536033,听说深度学习算法工程师均资已达22K+了！\\xa0你还在犹豫要不要跳槽？,2018-02-05
http://chuansong.me/n/2169704336126,报告\\xa0：2018年数据分析师要涨薪！一般人我不告诉他,2018-02-01
http://chuansong.me/n/2169704436134,IT耳朵&amp;IT桔子：2017年人工智能行业发展研究报告白皮书,2018-02-01
http://chuansong.me/n/2166010936014,抛开炫技，数据应该如何表达？,2018-01-30
http://chuansong.me/n/2166011036020,斯坦福大学10张图剖析人工智能发展新趋势,2018-01-30
http://chuansong.me/n/2166011136613,零基础也能快速入门深度学习,2018-01-29
http://chuansong.me/n/2166011236624,重磅\\xa0：考察数据科学家和分析师的41个统计学问题,2018-01-29
http://chuansong.me/n/2159089136730,推荐\\xa0：这里有一份价值\\xa07680\\xa0元的学习资料，要免费送给你,2018-01-26
http://chuansong.me/n/2159089236718,分享\\xa0：17款工具，让你的数据更美观,2018-01-26
http://chuansong.me/n/2159089336523,超级干货\\xa0：手把手教你学习R语言（附资源链接）,2018-01-25
http://chuansong.me/n/2155315836021,强！阿里再度开源重磅技术，95%程序员受用,2018-01-23
http://chuansong.me/n/2155315936025,2018年重塑科技行业的15个趋势之(11-15),2018-01-23
http://chuansong.me/n/2153363236433,赶紧收藏\\xa0:\\xa0从15000个Python开源项目中精选的Top30,2018-01-22
http://chuansong.me/n/2146488236918,超融合2.0时代来临，你将如何选择?,2018-01-19
http://chuansong.me/n/2146488336915,R\\xa0与\\xa0Excel\\xa0之数据分析,2018-01-19
http://chuansong.me/n/2146488436826,无AI，不寒假，好未来AI实战训练营入营选拔即日启动,2018-01-18
http://chuansong.me/n/2146488536824,2018年重塑科技行业的15个趋势之(5-10),2018-01-18
http://chuansong.me/n/2142833036336,跳槽必备|给数据分析师转型升级的100G学习资料+40个大数据/AI课程,2018-01-16
http://chuansong.me/n/2142833136317,推荐|十个值得收藏的Excel技巧,2018-01-16
http://chuansong.me/n/2140906736028,盘点近期重大技术成就及其将带给你的影响，与你我息息相关！,2018-01-15
http://chuansong.me/n/2140906836023,2018年重塑科技行业的15个趋势之(1-4),2018-01-15
http://chuansong.me/n/2134029736122,推荐\\xa0：BAT人跳槽去哪儿？这份报告给你答案,2018-01-12
http://chuansong.me/n/2134029836122,经典\\xa0：20张图片完美捕捉数据科学发展的瞬间,2018-01-12
http://chuansong.me/n/2130377936922,赫美集团收购奢侈品电商尚品网\\xa0\\xa0正式进军线上,2018-01-10
http://chuansong.me/n/2130378036922,译文\\xa0：如果我们心存偏见，还能做好数据分析吗,2018-01-10
http://chuansong.me/n/2130213436817,想转行AI？先看完这份机器学习全解,2018-01-09
http://chuansong.me/n/2130213536822,13个原因告诉你：为什么你的大脑那么喜欢图表,2018-01-09
http://chuansong.me/n/2127322936022,资源：惊艳全球数据行业的16个数据可视化例子,2018-01-08
http://chuansong.me/n/2127323036026,盘点：2017年最受欢迎的十大机器学习Python库,2018-01-08
http://chuansong.me/n/2120869036517,2018年，人工智能所需跨越的难关,2018-01-05
http://chuansong.me/n/2120869136518,技巧\\xa0：Excel用得好，天天没烦恼,2018-01-05
http://chuansong.me/n/2119650136422,干货\\xa0：什么是数据科学？如何把数据变成产品？,2018-01-03
http://chuansong.me/n/2119650236438,R语言机器学习与大数据可视化暨Python文本挖掘与自然语言处理核心技术研修,2018-01-03
http://chuansong.me/n/2117670336327,超级干货\\xa0：怎样从编程零基础入行分析领域（附学习资源）,2018-01-01
http://chuansong.me/n/2109727636818,分享\\xa0：2018年人工智能的三大预测,2017-12-28
http://chuansong.me/n/2109727736819,高德地图发布全国美食地图：火锅最受欢迎,2017-12-28
http://chuansong.me/n/2103962636221,机器学习和数据分析将会创造怎样的商业未来?,2017-12-26
http://chuansong.me/n/2103962736219,如何区分理解数据科学家与机器学习工程师,2017-12-26
http://chuansong.me/n/2103799436024,干货\\xa0：盘点BAT顶级人才变动，窥探各家AI战略,2017-12-25
http://chuansong.me/n/2103799536018,关于用户画像那些事，看这一文章就够了,2017-12-25
http://chuansong.me/n/2094962136528,曾经我是一个只会excel的数据分析师，直到我遇到了……,2017-12-21
http://chuansong.me/n/2094962236522,如何提高图表设计与制作技巧，看这一文章就够了,2017-12-21
http://chuansong.me/n/2093075236017,刚刚，阿里发布了一个技术重磅炸弹！,2017-12-20
http://chuansong.me/n/2093075336019,干货\\xa0:\\xa0揭秘信息可视化图表的设计方法,2017-12-20
http://chuansong.me/n/2092969636230,超级干货\\xa0：一文读懂LinkedIn个性化推荐模型及建模原理,2017-12-19
http://chuansong.me/n/2092969736223,职场必备：Excel2016，官方推荐使用技巧,2017-12-19
http://chuansong.me/n/2090896236035,2018年大数据趋势\\xa0：人工智能...\\xa0数据分析将包含可视化模型...,2017-12-18
http://chuansong.me/n/2082989936315,实现数据驱动型企业，只需五步！,2017-12-15
http://chuansong.me/n/2082990036314,数据可视化和信息图成功的要素,2017-12-15
http://chuansong.me/n/2081999636425,2017年，你们想知道在人工智能领域的薪资有多高？,2017-12-14
http://chuansong.me/n/2079239536124,超级干货\\xa0：一文读懂贝叶斯分类算法（附学习资源）,2017-12-12
http://chuansong.me/n/2079239636117,分享\\xa0：9个实用的Excel小技巧,2017-12-12
http://chuansong.me/n/2074735936618,编程零基础，如何19周掌握深度学习？,2017-12-11
http://chuansong.me/n/2074736036616,推荐\\xa0：数据可视化专家的七个秘密,2017-12-11
http://chuansong.me/n/2072871536318,推荐\\xa0：实现数据可视化的几个工具选择,2017-12-08
http://chuansong.me/n/2072871636319,分享\\xa0：几个超级实用的excel小技巧,2017-12-08
http://chuansong.me/n/2068985836936,推荐干货\\xa0|\\xa0微软认证讲师分析小白发展四阶段，教你用Excel做数据分析,2017-12-07
http://chuansong.me/n/2067116636725,超级简单\\xa0：两个月上手AI的学习经验（附学习资源）,2017-12-05
http://chuansong.me/n/2065031636731,2017全球人工智能人才白皮书\\xa0：解读世界顶级AI牛人的秘密！,2017-12-04
http://chuansong.me/n/2065031736715,推荐\\xa0：从实战角度解读数据科学,2017-12-04
http://chuansong.me/n/2059858836819,大数据人工智能领域从菜鸟到高手晋级指南,2017-12-01
http://chuansong.me/n/2058152836631,手把手教你估算深度神经网络的最优学习率（附代码&amp;教程）,2017-11-30
