链接,标题,日期
http://chuansong.me/n/2207272851218,【工具】55种开源数据可视化工具简介,2018-02-25
http://chuansong.me/n/2207272951314,【趋势】数据可视化的七大趋势,2018-02-24
http://chuansong.me/n/2207273051311,【知识】数据可视化指导,2018-02-24
http://chuansong.me/n/2207273151512,【知识】基础机器学习算法,2018-02-23
http://chuansong.me/n/2207273251511,【研究】图像识别及应用,2018-02-23
http://chuansong.me/n/2207273351818,【概念】深度学习25个概念，值得研读,2018-02-22
http://chuansong.me/n/2207273451811,【知识】正则化与过拟合,2018-02-22
http://chuansong.me/n/2207273551824,【挑战】机器学习在互联网应用面临的\\xa010\\xa0大挑战,2018-02-22
http://chuansong.me/n/2207273651220,【知识】线性回归和梯度下降算法，值得学习,2018-02-21
http://chuansong.me/n/2207273751222,【应用】人工智能的未来在于各行各业的深度应用,2018-02-21
http://chuansong.me/n/2200117151325,【书籍】两本人工智能书：《终极算法》、《智能浪潮》,2018-02-20
http://chuansong.me/n/2200117251317,【知识】新手必看的十种机器学习算法,2018-02-20
http://chuansong.me/n/2200117351909,【应用】消费者画像,2018-02-19
http://chuansong.me/n/2200117451914,【知识】推荐系统中的常用算法,2018-02-19
http://chuansong.me/n/2198055751721,【政策】中国各地人工智能行业政策汇总及解读,2018-02-18
http://chuansong.me/n/2198055851714,【知识】人工智能数学基础知识,2018-02-18
http://chuansong.me/n/2198055951716,【报告】新零售系列报告，值得学习,2018-02-18
http://chuansong.me/n/2198056051011,【应用】大数据和新零售,2018-02-17
http://chuansong.me/n/2198056151010,【知识】图解机器学习,2018-02-17
http://chuansong.me/n/2196283351409,【应用】大数据世界,2018-02-16
http://chuansong.me/n/2196283451416,【经验】数据可视化专家的七个秘密,2018-02-16
http://chuansong.me/n/2196283551119,【应用】“人工智能+新零售”机会何在？,2018-02-15
http://chuansong.me/n/2196283651124,【知识】使用Python来学习数据科学的完整教程,2018-02-15
http://chuansong.me/n/2193559251216,【知识】AI知识速查表，值得收藏,2018-02-14
http://chuansong.me/n/2193559351223,【报告】2017人工智能行业现状与发展趋势报告,2018-02-14
http://chuansong.me/n/2188516751516,人工智能兴起\\xa0这六种工作需求增长,2018-02-10
http://chuansong.me/n/2185238951510,2018年大数据趋势,2018-02-09
http://chuansong.me/n/2129392751114,【资讯】来了，人工智能早班车,2018-01-09
http://chuansong.me/n/2129392851014,【资讯】来了，人工智能早班车,2018-01-08
http://chuansong.me/n/2129392951320,【经验】2018年努力成为一名数据科学家,2018-01-06
http://chuansong.me/n/2111094151812,【观点】学习数据科学动机,2017-12-29
http://chuansong.me/n/2104281551119,【经验】掌握数据科学硕士课程大部分内容,2017-12-26
http://chuansong.me/n/2103011851414,【方向】开启您的数据科学方向,2017-12-24
http://chuansong.me/n/2103011951426,【知识】2017年数据科学Top12的Python库,2017-12-24
http://chuansong.me/n/2084544751412,【经验】数据科学家修炼记,2017-12-13
http://chuansong.me/n/2064305451412,【书籍】数据科学经典书籍,2017-12-03
http://chuansong.me/n/2029785751417,tensorflow高质量资料汇总,2017-11-18
http://chuansong.me/n/2019192951911,数据质量为什么至关重要,2017-11-10
http://chuansong.me/n/2019193051207,数据质量是什么,2017-11-08
http://chuansong.me/n/2019193151513,IPython使用简易教程,2017-11-05
http://chuansong.me/n/2019193251004,代价函数,2017-11-04
http://chuansong.me/n/2019193351925,Python\\xa0scikit-learn\\xa0做线性回归,2017-11-01
http://chuansong.me/n/2019193451228,KNN两种分类器的python简单实现及其结果可视化比较,2017-10-31
http://chuansong.me/n/2019193551607,机器学习是什么,2017-10-28
http://chuansong.me/n/2019193651611,有监督学习和无监督学习,2017-10-28
http://chuansong.me/n/2011143451410,如何建立数据驱动文化,2017-10-23
http://chuansong.me/n/2011143551115,统计建模和机器学习的区别之我见,2017-10-21
http://chuansong.me/n/2011143651411,数据科学面临的共同挑战,2017-10-20
http://chuansong.me/n/2011143751419,Anaconda软件安装Keras教程,2017-10-20
http://chuansong.me/n/2011143851309,大数据人才职业规划,2017-10-19
http://chuansong.me/n/2011143951324,Anaconda软件安装TensorFlow教程,2017-10-19
http://chuansong.me/n/2011144051028,人工智能、物联网、智能城市...未来30年的科技发展趋势,2017-10-17
http://chuansong.me/n/2011144151908,数据科学学习误区,2017-10-07
http://chuansong.me/n/2011144251016,实体零售的18个人工智能应用场景,2017-09-30
http://chuansong.me/n/2011144351208,数据驱动运营案例,2017-09-29
http://chuansong.me/n/2011144451211,互联网金融风控7个问题,2017-09-29
http://chuansong.me/n/2011144551908,人工神经网络简介,2017-09-28
http://chuansong.me/n/2011144651907,支持向量机算法,2017-09-28
http://chuansong.me/n/2011144751418,人工智能、机器学习和深度学习是什么？,2017-09-27
http://chuansong.me/n/2011144851413,自然语言处理的十个发展趋势,2017-09-27
http://chuansong.me/n/1993199451018,Python做机器学习的生态系统简介,2017-07-25
http://chuansong.me/n/1993199551013,数据科学在各行各业中的差异,2017-07-25
http://chuansong.me/n/1993199651018,人工智能技术在移动互联网发展中的应用,2017-07-25
http://chuansong.me/n/1993199751510,数据质量监控的那些事,2017-07-21
http://chuansong.me/n/1993199851506,人工智能政策,2017-07-21
http://chuansong.me/n/1983373051419,健康医疗大数据，数据自身“健康”是关键,2017-07-18
http://chuansong.me/n/1983373151411,人工智能研究的中国力量,2017-07-18
http://chuansong.me/n/1983373251413,数据科学初学者九种常见错误,2017-07-18
http://chuansong.me/n/1977007151715,Python语言做数据探索教程,2017-07-15
http://chuansong.me/n/1954913951714,数据科学家Vs机器学习工程师,2017-07-05
http://chuansong.me/n/1951318951315,Python做机器学习经典书籍,2017-07-03
http://chuansong.me/n/1925917851607,公众号改名告知,2017-06-20
http://chuansong.me/n/1917586351008,机器学习调优实战,2017-06-17
http://chuansong.me/n/1889601051012,如何学习和应用机器学习？,2017-06-04
http://chuansong.me/n/1853431451013,如何让数据在产品中“说话”,2017-05-23
http://chuansong.me/n/1818394851216,机器学习如何改变数字化企业的未来,2017-05-10
http://chuansong.me/n/1804601351651,Ubuntu\\xa016.04下为TITAN\\xa01080\\xa0显卡安装驱动及Gpu版TensorFlow|深度学习,2017-04-29
http://chuansong.me/n/1782163651111,4月21日数据动态早报,2017-04-21
http://chuansong.me/n/1768308151622,R语言玩数据：数据+算法+计算引擎+知识表达,2017-04-17
http://chuansong.me/n/1768308251413,人工智能/机器学习知多少？,2017-04-16
http://chuansong.me/n/1763073551729,《未来已来：AI时代就业指南》\\xa0沙龙活动\\xa0深圳\\xa04月23日,2017-04-12
http://chuansong.me/n/1726541551818,3月31日数据动态早报 | 健康是福,2017-03-31
http://chuansong.me/n/1716427451711,3月28日数据动态早报,2017-03-28
http://chuansong.me/n/1714111651025,3月27日数据动态早报 | 农村电商或是下一个风口,2017-03-27
http://chuansong.me/n/1711655251838,3月26日数据动态早报 | 大数据应用、智能金融、超级电商金融以及区块链金融,2017-03-26
http://chuansong.me/n/1693152451434,3月22日数据动态早报  | 5G+物联网+大数据，提升城市“智慧”,2017-03-22
http://chuansong.me/n/1690442251421,3月21日数据动态早报 | 云计算、大数据,2017-03-21
http://chuansong.me/n/1686510851121,3月20日数据动态早报 | 大健康，大数据,2017-03-20
http://chuansong.me/n/1686211551733,3月19日数据动态早报 | 电商“下线” 京东阿里小米争开实体店。,2017-03-19
http://chuansong.me/n/1681390751620,3月18日数据动态早报 | 人工智能时代,2017-03-18
http://chuansong.me/n/1678774951833,3月17日数据动态早报 | 中国移动与清华大学共建“车联网”实验室,2017-03-17
http://chuansong.me/n/1675120351259,3月16日数据动态早报 | 加快新材料、人工智能、集成电路、生物制药、第五代移动通信等技术研发和转化，做大做强产业集群,2017-03-16
http://chuansong.me/n/1672292551233,3月15日数据动态早报|互联网金融升级2.0，银行进入智能投顾时代,2017-03-15
http://chuansong.me/n/1668532151931,3月14日数据动态|大数据流通与交易技术国家工程实验室正式挂牌,2017-03-14
http://chuansong.me/n/1668532251917,人才各样，考虑成为一名数据人才吗？,2017-03-14
http://chuansong.me/n/1664488551626,3月13日数据动态早报| 人工智能技术变革大视频未来,2017-03-13
http://chuansong.me/n/1661204051032,3月12日数据动态早报 | 机器学习和人工智能、区块链和网络安全,2017-03-12
http://chuansong.me/n/1658657751335,3月11日数据动态早报 | 人口健康信息化和健康医疗大数据规划正式发布,2017-03-11
http://chuansong.me/n/1658657851312,人人谈大数据，你怎么看？,2017-03-11
http://chuansong.me/n/1652280651541,3月10日数据动态早报 | 平安WiFi融资5.5亿，开创”通信+金融”双盈利模式,2017-03-10
http://chuansong.me/n/1649226851621,3月9日数据动态早报|加强个人信息保护立法,2017-03-09
